text,font_size,is_bold,y_position,word_count,is_all_caps,is_centered,label
,12,0,0.09393942476523043,0,0,0,Body_Text
,12,0,0.12545452695904355,0,0,0,Body_Text
,12,0,0.15699498340336962,0,0,0,Body_Text
,12,0,0.15699498340336962,0,0,0,Body_Text
Acarajé,12,1,0.09393942476523043,1,0,0,H1
,10,0,0.1110730797353417,1,0,0,Body_Text
Ingredients :,12,1,0.11242421468098958,2,0,0,Body_Text
o   2 cups black-eyed peas,10,0,0.13082309684368096,5,0,0,Body_Text
o   1 small onion,10,0,0.14930796382403133,4,0,0,Body_Text
o   2 cloves garlic,10,0,0.16789378541888614,4,0,0,Body_Text
o   1 teaspoon salt,10,0,0.1863786523992365,4,0,0,Body_Text
o   Oil for frying,10,0,0.20486351937958688,4,0,0,Body_Text
,10,0,0.2220832362319484,1,0,0,Body_Text
Instructions :,12,1,0.22343437117759626,2,0,0,Body_Text
"o   Soak black-eyed peas overnight, then peel and rinse.",10,0,0.24183317627569642,9,0,0,Body_Text
"o   Blend peas with diced onion, minced garlic, and salt until smooth.",10,0,0.2603180432560468,12,0,1,Body_Text
o   Form mixture into balls and fry in hot oil until golden.,10,0,0.2788029102363972,12,0,0,Body_Text
o   Drain on paper towels and serve warm.,10,0,0.29736353170992147,8,0,0,Body_Text
,12,0,0.31593430644333964,0,0,0,Body_Text
Agedashi Tofu,12,1,0.33441917342369004,2,0,0,H1
,10,0,0.3515529054583925,1,0,0,Body_Text
Ingredients :,12,1,0.3529040404040404,2,0,0,Body_Text
o   1 block tofu,10,0,0.37130290330058396,4,0,0,Body_Text
o   1/4 cup cornstarch,10,0,0.38978777028093436,4,0,0,Body_Text
o   1 cup dashi broth,10,0,0.4082726372612847,5,0,0,Body_Text
o   2 tablespoons soy sauce,10,0,0.4268331816702178,5,0,0,Body_Text
o   1 tablespoon mirin,10,0,0.4453180486505682,4,0,0,Body_Text
o   1/4 cup green onions,10,0,0.4638029156309186,5,0,0,Body_Text
o   1/4 cup grated daikon,10,0,0.4822877826112689,5,0,0,Body_Text
,10,0,0.499507441665187,1,0,0,Body_Text
Instructions :,12,1,0.5008585766108349,2,0,0,Body_Text
o   Cut tofu into cubes and coat with cornstarch.,10,0,0.5192827166933002,9,0,0,Body_Text
o   Fry in hot oil until golden.,10,0,0.5377675836736505,7,0,0,Body_Text
o   Heat dashi broth with soy sauce and mirin.,10,0,0.5563281280825837,9,0,0,Body_Text
"o   Serve tofu in broth, topped with green onions and grated daikon.",10,0,0.574812995062934,12,0,1,Body_Text
,12,0,0.5933838275947956,0,0,0,Body_Text
Aloo Gobi,12,1,0.611868694575146,2,0,0,H1
,10,0,0.6290023880775528,1,0,0,Body_Text
Ingredients :,12,1,0.6303535230232008,2,0,0,Body_Text
o   2 potatoes,10,0,0.6487523859197443,3,0,0,Body_Text
o   1 cauliflower,10,0,0.6672372529000947,3,0,0,Body_Text
o   1 small onion,10,0,0.6857977973090278,4,0,0,Body_Text
o   2 cloves garlic,10,0,0.7042826642893781,4,0,0,Body_Text
o   1 teaspoon cumin,10,0,0.7227675312697285,4,0,0,Body_Text
o   1 teaspoon turmeric,10,0,0.7412523982500789,4,0,0,Body_Text
